club,home_PPS,away_PPS,home_adv
Bayern Munich,2.47,2.12,0.35
Dortmund,2.59,1.88,0.71
RB Leipzig,2.12,1.76,0.36
Leverkusen,1.71,1.71,0
Monchengladbach,1.76,1.47,0.29
Wolfsburg,1.71,1.53,0.18
E. Frankfurt,1.65,1.53,0.12
Werder Bremen,1.76,1.35,0.41
Hoffenheim,1.53,1.47,0.06
Dusseldorf,1.59,1,0.59
Hertha Berlin,1.41,1.12,0.29
FSV Mainz,1.71,0.82,0.89
Freiburg,1.47,0.65,0.82
Schalke 04,0.88,1.06,-0.18
FC Augsburg,1.12,0.76,0.36
Stuttgart,1.29,0.35,0.94
Hannover 96,0.94,0.29,0.65
FC Nurnberg,0.94,0.18,0.76
